case_name,year,nbr_observed,nbr_fitted,ndvi,sar
point_1,2000,0.537059,0.595182,0.469523,
point_1,2001,0.592789,0.586622,0.553911,
point_1,2002,0.648892,0.578061,0.543625,
point_1,2003,0.556692,0.5695,0.449481,
point_1,2004,0.621188,0.56094,0.444136,
point_1,2005,0.6629,0.552379,0.478376,
point_1,2006,0.677389,0.543819,0.443506,
point_1,2007,0.549236,0.535258,0.267684,
point_1,2008,0.623391,0.526697,0.486931,
point_1,2009,0.620407,0.518137,0.455989,
point_1,2010,0.614241,0.509576,0.517583,
point_1,2011,0.621052,0.501015,0.337675,
point_1,2012,0.392667,0.492455,0.246814,
point_1,2013,0.09696,0.483894,0.181718,
point_1,2014,0.205603,0.475334,0.288978,
point_1,2015,0.281534,0.466773,0.364812,-15.134723
point_1,2016,0.293557,0.458212,0.413275,-14.608653
point_1,2017,0.473897,0.449652,0.547112,-13.486668
point_1,2018,0.477724,0.441091,0.597882,-14.153566
point_1,2019,0.478817,0.43253,0.539154,-14.729489
point_1,2020,0.420631,0.42397,0.50302,-13.979795
point_1,2021,0.465979,0.415409,0.566682,-14.037503
point_1,2022,0.443021,0.406848,0.543486,-13.706552
point_1,2023,0.534191,0.398288,0.623781,-13.417931
point_1,2024,0.33768,0.389727,0.430953,-16.81017
point_1,2025,0.354085,0.381167,0.496696,-14.684477
point_4,2000,0.276021,0.05564,0.424432,
point_4,2001,0.143006,0.065538,0.255455,
point_4,2002,0.039496,0.075437,0.251868,
point_4,2003,0.275033,0.085336,0.416136,
point_4,2004,0.072576,0.095235,0.257044,
point_4,2005,-0.033028,0.105133,0.288056,
point_4,2006,0.623013,0.115032,0.248879,
point_4,2007,0.00589,0.124931,0.278533,
point_4,2008,0.006424,0.134829,0.270411,
point_4,2009,0.005141,0.144728,0.306324,
point_4,2010,0.184917,0.154627,0.344467,
point_4,2011,0.364653,0.164525,0.128849,
point_4,2012,0.037639,0.174424,0.383904,
point_4,2013,-0.026134,0.184323,0.282359,
point_4,2014,0.317584,0.194221,0.464727,
point_4,2015,0.262275,0.20412,0.459765,-14.357231
point_4,2016,0.289163,0.214019,0.468436,-14.466702
point_4,2017,0.451218,0.223918,0.555283,-14.603286
point_4,2018,0.298593,0.233816,0.524852,-14.52161
point_4,2019,-0.018556,0.243715,0.314619,-20.127211
point_4,2020,0.114911,0.253614,0.332769,-17.275098
point_4,2021,0.297992,0.263512,0.47137,-16.974852
point_4,2022,0.333949,0.273411,0.516804,-14.393965
point_4,2023,0.478821,0.28331,0.597271,-14.195026
point_4,2024,0.39757,0.293208,0.570298,-14.572139
point_4,2025,0.429527,0.303107,0.581254,-14.037235
point_5,2000,0.381436,0.303484,0.517057,
point_5,2001,0.402636,0.317122,0.517253,
point_5,2002,0.37879,0.330759,0.504346,
point_5,2003,0.365922,0.344397,0.548773,
point_5,2004,0.368415,0.358035,0.559108,
point_5,2005,0.426259,0.371673,0.650785,
point_5,2006,0.289858,0.385311,0.403893,
point_5,2007,0.223356,0.398949,0.502841,
point_5,2008,0.380544,0.412586,0.594674,
point_5,2009,0.49221,0.426224,0.562398,
point_5,2010,0.507702,0.439862,0.607425,
point_5,2011,0.516184,0.4535,0.402138,
point_5,2012,0.282637,0.467138,0.493359,
point_5,2013,0.175988,0.21947,0.452473,
point_5,2014,0.176026,0.233121,0.478132,
point_5,2015,0.128636,0.246772,0.396437,-16.753544
point_5,2016,0.310151,0.260424,0.479084,-16.509047
point_5,2017,0.519434,0.274075,0.621581,-14.708304
point_5,2018,0.398059,0.287726,0.576215,-14.766417
point_5,2019,0.118242,0.301378,0.394875,-18.188715
point_5,2020,0.220073,0.315029,0.390896,-17.303246
point_5,2021,0.425093,0.32868,0.553269,-15.247957
point_5,2022,0.418526,0.342332,0.599478,-13.814839
point_5,2023,0.36628,0.355983,0.534203,-14.234148
point_5,2024,0.407191,0.369634,0.548754,-14.019694
point_5,2025,0.461256,0.383286,0.579456,-13.752546
