case,year,observed_NBR,fitted_NBR
point_1,2000,0.537059,0.595182
point_1,2001,0.592789,0.586622
point_1,2002,0.648892,0.578061
point_1,2003,0.556692,0.5695
point_1,2004,0.621188,0.56094
point_1,2005,0.6629,0.552379
point_1,2006,0.677389,0.543819
point_1,2007,0.549236,0.535258
point_1,2008,0.623391,0.526697
point_1,2009,0.620407,0.518137
point_1,2010,0.614241,0.509576
point_1,2011,0.621052,0.501015
point_1,2012,0.392667,0.492455
point_1,2013,0.09696,0.483894
point_1,2014,0.205603,0.475334
point_1,2015,0.281534,0.466773
point_1,2016,0.293557,0.458212
point_1,2017,0.473897,0.449652
point_1,2018,0.477724,0.441091
point_1,2019,0.478817,0.43253
point_1,2020,0.420631,0.42397
point_1,2021,0.465979,0.415409
point_1,2022,0.443021,0.406848
point_1,2023,0.534191,0.398288
point_1,2024,0.33768,0.389727
point_1,2025,0.354085,0.381167
point_4,2000,0.276021,0.05564
point_4,2001,0.143006,0.065538
point_4,2002,0.039496,0.075437
point_4,2003,0.275033,0.085336
point_4,2004,0.072576,0.095235
point_4,2005,-0.033028,0.105133
point_4,2006,0.623013,0.115032
point_4,2007,0.00589,0.124931
point_4,2008,0.006424,0.134829
point_4,2009,0.005141,0.144728
point_4,2010,0.184917,0.154627
point_4,2011,0.364653,0.164525
point_4,2012,0.037639,0.174424
point_4,2013,-0.026134,0.184323
point_4,2014,0.317584,0.194221
point_4,2015,0.262275,0.20412
point_4,2016,0.289163,0.214019
point_4,2017,0.451218,0.223918
point_4,2018,0.298593,0.233816
point_4,2019,-0.018556,0.243715
point_4,2020,0.114911,0.253614
point_4,2021,0.297992,0.263512
point_4,2022,0.333949,0.273411
point_4,2023,0.478821,0.28331
point_4,2024,0.39757,0.293208
point_4,2025,0.429527,0.303107
point_5,2000,0.381436,0.303484
point_5,2001,0.402636,0.317122
point_5,2002,0.37879,0.330759
point_5,2003,0.365922,0.344397
point_5,2004,0.368415,0.358035
point_5,2005,0.426259,0.371673
point_5,2006,0.289858,0.385311
point_5,2007,0.223356,0.398949
point_5,2008,0.380544,0.412586
point_5,2009,0.49221,0.426224
point_5,2010,0.507702,0.439862
point_5,2011,0.516184,0.4535
point_5,2012,0.282637,0.467138
point_5,2013,0.175988,0.21947
point_5,2014,0.176026,0.233121
point_5,2015,0.128636,0.246772
point_5,2016,0.310151,0.260424
point_5,2017,0.519434,0.274075
point_5,2018,0.398059,0.287726
point_5,2019,0.118242,0.301378
point_5,2020,0.220073,0.315029
point_5,2021,0.425093,0.32868
point_5,2022,0.418526,0.342332
point_5,2023,0.36628,0.355983
point_5,2024,0.407191,0.369634
point_5,2025,0.461256,0.383286
