AMP_CODE,AMPHOE_T,AMPHOE_E,PROV_CODE,PROV_NAM_T,PROV_NAM_E,Region,px_type1,px_type2,px_total,area_rai_1,area_rai_2,area_rai_aban,area_rai_tot,pct_aban
01,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,C,0,0,6412,0.0,0.0,0.0,3606.75,0.0
02,ดุสิต,Dusit,10,กรุงเทพมหานคร,Bangkok,C,0,0,13417,0.0,0.0,0.0,7547.06,0.0
03,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,C,319,5337,275431,179.44,3002.06,3181.5,154929.94,2.0535
04,บางรัก,Bang Rak,10,กรุงเทพมหานคร,Bangkok,C,0,0,4800,0.0,0.0,0.0,2700.0,0.0
05,บางเขน,Bang Khen,10,กรุงเทพมหานคร,Bangkok,C,0,235,47754,0.0,132.19,132.19,26861.62,0.4921
06,บางกะปิ,Bang Kapi,10,กรุงเทพมหานคร,Bangkok,C,0,0,32441,0.0,0.0,0.0,18248.06,0.0
07,ปทุมวัน,Pathum Wan,10,กรุงเทพมหานคร,Bangkok,C,0,0,9474,0.0,0.0,0.0,5329.12,0.0
08,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,10,กรุงเทพมหานคร,Bangkok,C,0,0,3034,0.0,0.0,0.0,1706.62,0.0
09,พระโขนง,Phra Khanong,10,กรุงเทพมหานคร,Bangkok,C,0,0,15319,0.0,0.0,0.0,8616.94,0.0
10,มีนบุรี,Min Buri,10,กรุงเทพมหานคร,Bangkok,C,42,502,70661,23.62,282.38,306.0,39746.81,0.7699
11,ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok,C,144,855,148835,81.0,480.94,561.94,83719.69,0.6712
12,ยานนาวา,Yan Nawa,10,กรุงเทพมหานคร,Bangkok,C,0,0,14449,0.0,0.0,0.0,8127.56,0.0
13,สัมพันธวงศ์,Samphanthawong,10,กรุงเทพมหานคร,Bangkok,C,0,0,1734,0.0,0.0,0.0,975.38,0.0
14,พญาไท,Phaya Thai,10,กรุงเทพมหานคร,Bangkok,C,0,0,10875,0.0,0.0,0.0,6117.19,0.0
15,ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok,C,0,0,9732,0.0,0.0,0.0,5474.25,0.0
16,บางกอกใหญ่,Bangkok Yai,10,กรุงเทพมหานคร,Bangkok,C,0,0,7410,0.0,0.0,0.0,4168.12,0.0
17,ห้วยขวาง,Huai Khwang,10,กรุงเทพมหานคร,Bangkok,C,0,0,19115,0.0,0.0,0.0,10752.19,0.0
18,คลองสาน,Khlong San,10,กรุงเทพมหานคร,Bangkok,C,0,0,7100,0.0,0.0,0.0,3993.75,0.0
19,ตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,Bangkok,C,0,0,41528,0.0,0.0,0.0,23359.5,0.0
20,บางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,Bangkok,C,0,0,14569,0.0,0.0,0.0,8195.06,0.0
21,บางขุนเทียน,Bang Khun Thian,10,กรุงเทพมหานคร,Bangkok,C,0,310,142235,0.0,174.38,174.38,80007.19,0.2179
22,ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok,C,0,0,22365,0.0,0.0,0.0,12580.31,0.0
23,หนองแขม,Nong Khaem,10,กรุงเทพมหานคร,Bangkok,C,0,0,42451,0.0,0.0,0.0,23878.69,0.0
24,ราษฎร์บูรณะ,Rat Burana,10,กรุงเทพมหานคร,Bangkok,C,0,0,15016,0.0,0.0,0.0,8446.5,0.0
25,บางพลัด,Bang Phlat,10,กรุงเทพมหานคร,Bangkok,C,0,0,13896,0.0,0.0,0.0,7816.5,0.0
26,ดินแดง,Din Daeng,10,กรุงเทพมหานคร,Bangkok,C,0,0,10035,0.0,0.0,0.0,5644.69,0.0
27,บึงกุ่ม,Bueng Kum,10,กรุงเทพมหานคร,Bangkok,C,0,12,27287,0.0,6.75,6.75,15348.94,0.044
28,สาทร,Sathon,10,กรุงเทพมหานคร,Bangkok,C,0,0,8663,0.0,0.0,0.0,4872.94,0.0
