PROV_CODE,PROV_NAM_T,PROV_NAM_E,Region,px_type1,px_type2,px_total,area_rai_1,area_rai_2,area_rai_aban,area_rai_tot,pct_aban
10,กรุงเทพมหานคร,Bangkok,C,809,9494,1832792,455.06,5340.38,5795.44,1030945.5,0.5621
11,สมุทรปราการ,Samut Prakarn,C,3301,9741,1101144,1856.81,5479.31,7336.12,619393.5,1.1844
12,นนทบุรี,Nonthaburi,C,393,564,741551,221.06,317.25,538.31,417122.44,0.1291
13,ปทุมธานี,Pathum Thani,C,1585,18212,1759392,891.56,10244.25,11135.81,989658.0,1.1252
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,C,25887,26603,2961754,14561.44,14964.19,29525.62,1665986.62,1.7723
15,อ่างทอง,Ang Thong,C,5758,3747,1107534,3238.88,2107.69,5346.56,622987.88,0.8582
16,ลพบุรี,Lopburi,C,8857,9569,7548791,4982.06,5382.56,10364.62,4246194.94,0.2441
17,สิงห์บุรี,Singburi,C,535,538,953556,300.94,302.62,603.56,536375.25,0.1125
18,ชัยนาท,Chainat,C,1788,3995,2919696,1005.75,2247.19,3252.94,1642329.0,0.1981
19,สระบุรี,Saraburi,C,7430,23184,4066798,4179.38,13041.0,17220.38,2287573.88,0.7528
20,ชลบุรี,Chonburi,E,6214,8623,5174902,3495.38,4850.44,8345.81,2910882.38,0.2867
21,ระยอง,Rayong,E,1780,3216,4248538,1001.25,1809.0,2810.25,2389802.62,0.1176
22,จันทบุรี,Chanthaburi,E,11316,8931,7375723,6365.25,5023.69,11388.94,4148844.19,0.2745
23,ตราด,Trat,E,568,6089,3293018,319.5,3425.06,3744.56,1852322.62,0.2022
24,ฉะเชิงเทรา,Chachoengsao,E,2815,7853,5966329,1583.44,4417.31,6000.75,3356060.06,0.1788
25,ปราจีนบุรี,Prachinburi,E,5917,22725,5807495,3328.31,12782.81,16111.12,3266715.94,0.4932
26,นครนายก,Nakhon Nayok,C,12053,44933,2479891,6779.81,25274.81,32054.62,1394938.69,2.2979
27,สระแก้ว,Srakaeo,E,5439,7976,7875366,3059.44,4486.5,7545.94,4429893.38,0.1703
30,นครราชสีมา,Nakhon Ratchasima,NE,4941,29700,48075104,2779.31,16706.25,19485.56,27042246.0,0.0721
31,บุรีรัมย์,Burirum,NE,1116,15898,23336560,627.75,8942.62,9570.38,13126815.0,0.0729
32,สุรินทร์,Surin,NE,595,6173,20462466,334.69,3472.31,3807.0,11510137.12,0.0331
33,ศรีสะเกษ,Sisaket,NE,684,7502,20614272,384.75,4219.88,4604.62,11595528.0,0.0397
34,อุบลราชธานี,Ubon Ratchathani,NE,1303,14153,35989916,732.94,7961.06,8694.0,20244327.75,0.0429
35,ยโสธร,Yasothon,NE,391,16748,9583220,219.94,9420.75,9640.69,5390561.25,0.1788
36,ชัยภูมิ,Chaiyaphum,NE,2812,13357,29597894,1581.75,7513.31,9095.06,16648815.38,0.0546
37,อำนาจเจริญ,Amnaj Charoen,NE,125,4862,7615078,70.31,2734.88,2805.19,4283481.38,0.0655
38,บึงกาฬ,Bung Kan,NE,2271,15771,9416656,1277.44,8871.19,10148.62,5296869.0,0.1916
39,หนองบัวลำภู,Nong Bua Lamphu,NE,663,851,9607052,372.94,478.69,851.62,5403966.75,0.0158
40,ขอนแก่น,Khon Kaen,NE,1134,12472,24893294,637.88,7015.5,7653.38,14002477.88,0.0547
41,อุดรธานี,Udon Thani,NE,1491,9125,25960702,838.69,5132.81,5971.5,14602894.88,0.0409
42,เลย,Loei,NE,5779,29574,24656968,3250.69,16635.38,19886.06,13869544.5,0.1434
